"1","91.108.34.127","fd:0c:f1:5f:99:dc","10337"
"2","70.121.19.206","39:dc:13:8a:e3:b5","10532"
"3","187.253.194.26","11:b4:c3:43:c9:69","11328"
"4","97.113.144.131","5b:88:84:71:db:c0","11411"
"5","26.84.196.40","08:d9:b5:05:07:ea","11949"
"6","40.48.106.167","92:19:aa:cc:c2:0f","12404"
"7","211.45.0.205","1b:a7:62:a8:6d:41","13490"
"8","106.167.2.115","54:a8:08:b7:04:62","15316"
"9","122.62.243.44","6f:6f:56:69:72:e3","16226"
"10","25.198.69.86","dd:d1:46:4b:15:30","16271"
"11","155.138.81.177","0d:ab:51:9c:c7:e3","16309"
"12","96.146.0.216","39:a6:92:15:d8:ad","16979"
"13","94.198.144.145","00:3d:1d:f7:71:93","18024"
"14","180.97.168.72","b7:f7:26:d0:e6:98","18263"
"15","130.247.193.73","ef:43:a6:02:48:14","18973"
"16","157.254.101.17","d2:6e:3b:3b:d3:f5","19303"
"17","128.81.195.252","4e:84:87:28:67:d2","19601"
"18","1.135.157.5","71:48:c4:88:ea:5e","19838"
"19","132.152.229.208","37:ab:53:35:2a:10","19961"
"20","77.172.74.8","0c:fd:02:a1:97:1d","19962"
"21","3.177.245.176","42:cb:ee:85:8a:59","10001"
"22","148.183.77.204","70:14:96:38:45:4e","10002"
"23","220.23.50.8","86:61:68:bf:a4:3a","10003"
"24","186.20.131.228","ec:f4:12:bc:ab:2d","10004"
"25","74.148.251.248","1f:bc:bd:f1:06:d3","10005"
"26","205.166.180.123","47:13:d2:4a:87:b7","10006"
"27","52.177.12.224","2b:2d:bf:f6:5d:d1","10007"
"28","201.97.65.181","d3:9a:b0:e8:1b:72","10008"
"29","29.147.186.211","8e:b2:c0:d7:68:55","10009"
"30","155.114.7.247","76:ab:58:e1:6e:f7","10010"
"31","99.11.11.131","9e:0c:89:50:e0:a3","10011"
"32","103.204.208.116","c2:e8:5a:36:0f:fb","10012"
"33","37.136.58.118","1c:c9:b8:f7:26:b3","10013"
"34","97.135.229.30","87:06:d8:99:69:de","10014"
"35","30.133.69.99","06:04:e8:d0:29:6d","10015"
"36","81.41.233.81","75:d8:48:29:a3:36","10016"
"37","26.25.69.201","d5:a8:f2:4a:3b:ab","10017"
"38","95.242.118.113","b6:8e:61:12:38:f0","10018"
"39","174.95.176.102","6a:37:d4:24:f8:14","10019"
"40","123.69.211.3","ce:3e:d9:32:f3:7e","10020"
"41","91.223.25.237","9f:d3:45:ef:fd:a8","10021"
"42","185.42.23.250","1c:6c:87:dc:ef:c4","10022"
"43","55.149.6.23","7e:d7:d4:28:07:87","10023"
"44","203.84.240.102","b0:92:ce:bf:c8:35","10024"
"45","48.179.69.62","5c:6c:89:06:c4:6a","10025"
"46","103.146.244.93","24:42:ed:f9:78:77","10026"
"47","37.197.63.132","e0:91:c1:b2:76:5a","10027"
"48","188.38.243.121","91:2d:c1:29:7e:9c","10028"
"49","190.131.97.31","f1:ff:ac:d6:d5:8c","10029"
"50","11.118.8.131","c9:4e:90:71:61:32","10030"
"51","216.214.221.241","71:a2:3a:f7:ed:ce","10031"
"52","101.127.56.124","d9:9e:c3:0c:01:d5","10032"
"53","68.99.2.33","1e:b9:c2:e5:70:54","10033"
"54","72.199.96.184","70:2a:fa:a9:72:c8","10034"
"55","1.68.116.167","16:2a:19:d3:28:e5","10035"
"56","41.4.119.14","50:a8:41:8e:5a:1f","10036"
"57","133.102.152.241","4e:43:25:cc:87:da","10037"
"58","208.242.152.57","6d:7f:cf:cb:b1:dd","10038"
"59","136.245.249.164","0f:6a:8b:3c:15:43","10039"
"60","153.78.111.79","cc:00:3f:eb:14:21","10040"
"61","147.208.97.97","ed:d8:a0:57:ca:54","10041"
"62","183.183.121.67","15:0c:14:a8:8f:ef","10042"
"63","96.84.254.203","03:34:7b:15:78:db","10043"
"64","46.39.198.147","ad:85:ac:28:5a:32","10044"
"65","2.99.181.145","4d:bd:5a:b7:6e:72","10045"
"66","198.83.187.135","8d:04:25:ee:e5:c1","10046"
"67","206.63.94.70","d3:5e:f0:e7:c2:6a","10047"
"68","214.93.8.122","e0:d4:3f:4f:a6:0c","10048"
"69","212.67.240.47","36:85:e7:b1:8f:94","10049"
"70","40.190.15.159","fb:87:e2:8c:4f:55","10050"
"71","210.236.127.129","84:6c:94:31:de:e7","10051"
"72","217.133.132.101","27:d4:ae:9f:d7:33","10052"
"73","69.29.72.207","04:6e:8d:24:61:45","10053"
"74","171.163.7.103","71:fa:5e:af:a9:f9","10054"
"75","71.118.54.148","80:c4:8a:76:ac:fd","10055"
"76","196.89.156.251","49:f9:9e:78:aa:6c","10056"
"77","19.96.42.167","a8:a7:57:a9:df:e7","10057"
"78","188.153.170.133","58:e6:f1:36:2f:0c","10058"
"79","187.39.1.109","28:6a:16:56:f3:8a","10059"
"80","19.179.183.115","c3:11:df:11:62:8d","10060"
"81","33.128.1.11","bd:ea:ce:55:07:eb","10061"
"82","112.249.6.234","74:96:8a:3f:03:db","10062"
"83","97.211.167.88","ce:42:36:75:d0:94","10063"
"84","221.240.8.104","80:48:89:fb:ed:4d","10064"
"85","10.186.86.191","c6:3a:a3:4d:17:dc","10065"
"86","90.47.240.131","b0:ff:e8:17:d6:0b","10066"
"87","63.98.250.68","f3:4a:a3:7e:90:ad","10067"
"88","103.64.87.11","e1:9f:e3:82:fe:06","10068"
"89","14.95.106.165","7a:06:82:2f:80:27","10069"
"90","71.131.151.251","e9:49:c1:b9:66:3f","10070"
"91","216.32.1.103","b1:d7:5c:d3:f7:bc","10071"
"92","148.150.61.198","d5:3e:5c:bb:52:3f","10072"
"93","80.14.153.181","1c:95:d5:58:57:81","10073"
"94","11.108.2.230","b9:17:54:61:54:68","10074"
"95","117.42.148.98","6a:d7:ac:fb:b4:a3","10075"
"96","144.165.249.228","cc:7c:14:5f:2b:f1","10076"
"97","152.78.154.69","5b:4a:f1:c1:67:d6","10077"
"98","66.133.24.93","70:8c:6f:f6:9d:5a","10078"
"99","169.100.192.168","6f:14:4b:7b:b7:db","10079"
